Siren Song	Atwood, Margaret	Gender Identity/Gender/Sexuality, Social Commentary	https://www.poetryfoundation.org/poetrymagazine/poems/32778/siren-song
Social Skills Training	Sharif, Solmaz	Gender Identity/Gender/Sexuality, Philosophy/Abstraction, Social Commentary	https://www.poetryfoundation.org/poems/1580548/social-skills-training
son/daughter	Conradi, Kai	Social Commentary, Relationships, Gender Identity/Gender Sexuality, Grief/Loss, Relationships/Family/Friendship	https://www.poetryfoundation.org/poetrymagazine/poems/148689/son-daughter
Symptoms of Prophecy	Rankine, Camille	Social Commentary	https://www.poetryfoundation.org/poems/89053/symptoms-of-prophecy
The Alchemist	Bogan, Louise	Grief/Loss, Love	https://poets.org/poem/alchemist
The Armadillo	Bishop, Elizabeth	Philosophy/Abstraction, Religion/Spirituality/Ritual	https://poets.org/poem/armadillo
The Current Isolationism	Rankine, Camille	Social Commentary	https://www.poetryfoundation.org/poems/89055/the-current-isolation
The Lesson	Angelou, Maya	Perseverance	https://allpoetry.com/poem/8511411-The-Lesson-by-Maya-Angelou
The Monster in the Lake	Espada, Martin	Childhood/Nostalgia, Nature/Environment, Race/Ethnicity, Relationships/Family/Friendship, Social Commentary	https://www.poetryfoundation.org/poetrymagazine/poems/160863/the-monster-in-the-lake
The New Colossus	Lazarus, Emma	Migration/Displacement, Politics/Justice, Religion/Spirituality/Ritual, War/Conflict, Work/Labor	https://poetryoutloud.org/poems/the-new-colossus/
The Road Not Taken	Frost, Robert	Philosophy/Abstraction	https://www.poetryfoundation.org/poems/44272/the-road-not-taken
The Story of a Stone	Ping, Liang	Nature/Environment, Philosophy/Abstraction, Religion/Spirituality/Ritual	https://www.poetryfoundation.org/poetrymagazine/poems/1690427/the-story-of-a-stone
The Swan at Edgewater Park	Schwartz, Ruth L.	Social Commentary, Nature/Environment, Philosophy/Abstraction, Gender	https://www.loc.gov/programs/poetry-and-literature/poet-laureate/poet-laureate-projects/poetry-180/all-poems/item/poetry-180-120/the-swan-at-edgewater-park/
The Wife-Woman	Spencer, Anne	Gender Identity/Gender/Sexuality, Work/Labor, Social Commentary	https://www.poetryfoundation.org/poems/91328/the-wife-woman
There Are Birds Here	May, Jamaal	Childhood/Nostalgia, Migration/Displacement, Nature/Environment, Politics/Justice, Race/Ethnicity, War/Conflict, Social Commentary	https://www.poetryfoundation.org/poetrymagazine/poems/56764/there-are-birds-here
This Morning	Carver, Raymond	Grief/Loss, Nature/Environment	https://www.poeticous.com/raymond-carver/this-morning-this-morning-was-something-a-little-snow
Throwing Children	Gay, Ross	Childhood/Nostalgia, Relationships/Family/Friendship	https://poets.org/poem/throwing-children
To be an American	Gonzales, Nicole	Politics/Justice, Race/Ethnicity	https://www.poetryfoundation.org/poetrymagazine/poems/1651369/to-be-an-american
Torso of Air	Vuong, Ocean	Philosophy/Abstraction	https://www.poetryfoundation.org/poems/160778/torso-of-air
We Lived Happily During The War	Kaminsky, Ilya	Grief/Loss, Philosophy/Abstraction, War/Conflict	https://www.poetryfoundation.org/poems/91413/we-lived-happily-during-the-war
Wife	Limon, Ada	Childhood/Nostalgia, Relationships/Family/Friendship, Identity	https://www.loc.gov/programs/poetry-and-literature/poet-laureate/poet-laureate-projects/poetry-180/all-poems/item/poetry-180-020/wife/
Wild Geese*	Oliver, Mary	Nature/Environment, Philosophy/Abstraction	https://www.orcity.org/DocumentCenter/View/1367/March-2019-Poetry-Post---Wild-Geese-by-Mary-Oliver-PDF
won't you celebrate with me	Clifton, Lucille	Gender Identity, Politics/Justice, Race/Ethnicity, Religion/Spirituality/Ritual	https://www.poetryfoundation.org/poems/50974/wont-you-celebrate-with-me
Women Who Love Angles	Ortiz, Judith	Gender Identity/Gender/Sexuality, Race/Ethnicity, Social Commentary	https://www.poetryfoundation.org/poems/57667/women-who-love-angels
